이름,유형,도로명주소,지번주소,전화번호,영업시간,별점,리뷰,메뉴이름,메뉴가격,위도,경도,테마
커피 방듸,카페,제주 제주시 남광로 9 1층,이도이동 1081-10,0507-1357-3541,"월,수,목,금,토,일 10:00 ~ 11:00",4.62,,,,33.4925779739173,126.537111841078,맛집
너와의첫여행 감성귤밭카페,카페,제주 제주시 애월읍 장소로 16 너와의첫여행 카페,장전리 1132-1,0507-1448-6891,화~일 10:00 ~ 19:00,0.0,1952.0,"['청귤 에이드', '아몬드크림라떼', '왕벚꽃에이드', '선셋스무디', '한라봉에이드', '감귤쥬스', '아메리카노', '달고나라떼', '복숭아크로플', '달고나 크로플', '크로플', '에스프레소 콘파냐', '애플유자티', '애플시나몬카푸치노', '메밀꽃밭 무료']","['8,000원', '7,000원', '7,000원', '8,000원', '7,000원', '8,000원', '5,000원', '7,000원', '13,000원', '11,000원', '8,000원', '6,000원', '8,000원', '7,000원', '변동']",33.450627806931,126.384543324699,맛집
아베베베이커리,베이커리,제주 제주시 동문로6길 4 동문시장 12번 게이트 옆,일도1동 1136-2,0507-1414-0750,매일 10:00 ~ 21:00,4.6,11721.0,"['한라산돌멩이도너츠(2개)', '제주오메기떡소보로도너츠', '안돌 아몬드 브리즈 크림 도너츠', '한림오메기떡츄러스x깔루아크림도너츠', '우도 땅콩크림 도너츠', '산방산 고구마크림 도너츠', '애월 인절미크림 도너츠', '아베베 더티 초코 도너츠', '제주 녹차크림 도너츠', '금능 사과 크림빵', '조천 오메기 품은 단팥빵', '위미 한라봉 크림빵', '사려니 크림 왕밤빵', '함덕 옛날 옥수수크림빵', '리얼 청귤 우유', '리얼 딸기 우유', '리얼 애플망고 우유', '아메리카노_hot', '아메리카노_ice', '라떼_hot', '라떼 _ice', '바닐라라떼 _hot']","['2,900원', '3,300원', '3,200원', '3,800원', '2,900원', '2,900원', '2,900원', '2,900원', '2,900원', '3,300원', '3,300원', '3,300원', '3,300원', '3,300원', '4,900원', '4,900원', '4,900원', '3,700원', '3,900원', '4,000원', '4,300원', '4,500원']",33.5126554485472,126.528790467937,맛집
원앤온리,카페,제주 서귀포시 안덕면 산방로 141,사계리 86,0507-1323-6186,매일 09:00 ~ 20:00,4.34,18372.0,"['OAO 버거', '비프파니니', '원앤온리 브런치', '초리조 시저샐러드', '산방산 케이크', '오렌지 무스 케이크', '파인애플 요거트', '라구 파스타', '비스크 로제파스타', '수제리코타치즈샐러드', '에그 베네딕트', '아보카도샌드위치', '순살치킨&감자튀김', '당근 케이크', '바나나 크럼블']","['18,000원', '16,000원', '18,000원', '14,000원', '12,000원', '12,000원', '10,000원', '18,000원', '18,000원', '18,000원', '18,000원', '16,000원', '22,000원', '11,000원', '12,000원']",33.2392235100208,126.319190550487,맛집
런던베이글뮤지엄 제주점,베이커리,제주 제주시 구좌읍 동복로 85 제2동 1층,동복리 719-1,0507-1323-6186,매일 08:00 ~ 18:00,0.0,2833.0,"['감자치즈 베이글', '쪽파 프레첼 베이글', '브릭레인 샌드위치', '플레인 베이글', '더블 베이컨 감자 샌드위치', '잠봉 버터 샌드위치', '스윗 펌킨 베이글', '소금빵 베이글', '에브리띵 베이글', '토마토 허브 베이글', '다크 초콜릿 베이글']","['5,500원', '8,500원', '6,800원', '3,800원', '14,800원', '8,500원', '5,500원', '4,700원', '4,700원', '4,700원', '4,900원']",33.5536043221312,126.715697494868,맛집
랜디스도넛 제주애월점,도넛,제주 제주시 애월읍 애월로 27-1,애월리 2471,0507-1458-0610,"월~금 10:00 ~ 19:00 · 토,일 10:00 ~ 20:00",4.39,11987.0,"['classic', 'Eeluxe', 'fancy', 'premium', '망고 요거트 스무디', '딸기 요거트 스무디', '플레인 요거트 스무디', '블루베리 요거트 스무디']","['2,700원', '3,200원', '3,500원', '3,800원', '6,000원', '6,000원', '6,000원', '6,000원']",33.4611696789499,126.311418894475,맛집
노을리,"카페,디저트",제주 제주시 애월읍 애월해안로 654 가동 1층,구엄리 1219-5,0507-1491-5032,매일 09:00 ~ 21:00,4.63,6752.0,"['수제 돈가스', '노을리 브런치', '잠봉뵈르 샌드위치', '아몬드 크림라떼', '노을리에이드', '흑연탄빵', '현무암앙버터', '안심 스테이크', '부라타 루꼴라 피자', '페페로니 피자', '고르곤졸라 피자', '찹스테이크', '명란 관자 크림 파스타', '노을리 샐러드', '부라타 리스 샐러드']","['20,000원', '20,000원', '20,000원', '9,000원', '11,000원', '9,500원', '6,900원', '52,000원', '34,000원', '28,000원', '25,000원', '25,000원', '23,000원', '15,000원', '22,000원']",33.4798955086068,126.372720683455,맛집
더클리프,"카페,디저트",제주 서귀포시 중문관광로 154-17,색달동 2950-17,0507-1312-8866,"월~금 10:00 ~ 01:00 · 토,일 10:00 ~ 02:00",4.28,8124.0,"['현무암치킨', '더클리프 피자', '색달비치', '흑돼지 멜젓 파스타', '제주바당', '쉬림프 칵테일', '태국식 돼지고기 바질 덮밥', '하와이안 쉬림프 라이스', '클럽버거', '피치블라썸', '피나콜라다', '바이올렛', '클리프 모히또']","['28,000원', '33,000원', '17,000원', '22,000원', '17,000원', '28,000원', '21,000원', '22,000원', '21,000원', '16,000원', '16,000원', '16,000원', '17,000원']",33.2450403542925,126.415599158242,맛집
우무,"카페,디저트",제주 제주시 한림읍 한림로 542-1,옹포리 324-3,0507-1327-0064,매일 09:00 ~ 20:00,4.36,9706.0,"['커스터드 푸딩', '말차 푸딩', '초코 푸딩', '오트비건푸딩', '초당옥수수푸딩 (시즌)', '구좌당근푸딩 (시즌)', '얼그레이 푸딩 (시즌)', '우무 땅콩 쿠키']","['6,800원', '6,800원', '6,800원', '6,800원', '6,800원', '6,800원', '6,800원', '11,000원']",33.4059002309384,126.25644378043,맛집
레이지펌프,"카페,디저트",제주 제주시 애월읍 애월북서길 32 lazypump,애월리 2578-1,0507-1325-8732,매일 09:00 ~ 20:00,0.0,10002.0,"['제주말차크리미', '퍼플에이드', '아메리카노', '아몬드라떼', '프렌치뱅쇼']","['7,000원', '7,000원', '6,000원', '7,000원', '7,500원']",33.466267134706,126.309553095967,맛집
