이름,유형,도로명주소,지번주소,전화번호,홈페이지,체크인/아웃시간,별점,리뷰 개수,위도,경도
제주플래티늄카라반,"캠핑,야영장",제주 제주시 애월읍 하귀미수포길 5-8,하귀2리 1806-2,064-805-9999,http://jejuptcar.com/main/index.html,미제공,4.53,1171,33.4834452845662,126.401406450408
리썸카라반,"캠핑,야영장",제주 서귀포시 대정읍 일과대수로27번길 12,일과리 1303-10,0507-1465-6769,http://www.resomecaravan.com,입실 16:00 퇴실 11:00,4.96,160,33.2392413490932,126.230147218432
제주게스트하우스파티 자고가,게스트하우스,제주 서귀포시 성산읍 신양로122번길 29 1층,고성리 559-4,0507-1365-0567,https://www.instagram.com/jagoga_guesthouse/,입실 16:00 퇴실 10:00,0.0,901,33.4531677418264,126.418975883357
서건도카라반,펜션,제주 서귀포시 이어도로 826-51,강정동 750,010-6739-8012,http://cafe.naver.com/seogundo,입실 15:00 퇴실 11:00,0.0,408,33.2324902055938,126.500066213573
태흥연가,펜션,제주 서귀포시 남원읍 태위로940번길 12-50 태흥연가,태흥리 1148-1,0507-1380-1149,http://www.taeheungyeonga.com,미제공,0.0,302,33.2830733015469,126.747106212288
이스트몽블루카라반캠핑,"캠핑,야영장",제주 제주시 구좌읍 종달동길 73-1,종달리 582,0507-1344-7569,https://www.instagram.com/dufks,입실 15:00 퇴실 11:00,0.0,118,33.491286074966,126.90703124677
녹고뫼펜션캠핑장,"캠핑,야영장",제주 제주시 애월읍 유수암평화10길 175-78,유수암리 92,064-799-8118,http://www.nokumecamp.com/,입실 15:00 퇴실 11:00,0.0,329,33.4131378507595,126.418546150179
팜핑제주카라반,"캠핑,야영장",제주 서귀포시 중산간서로400번길 105,도순동 1303,070-4101-1060,https://pampingjeju.modoo.at/,미제공,4.18,143,33.2690373557243,126.47271264967
캠파제주,"캠핑,야영장",제주 서귀포시 516로 574-23,상효동 1116-1,010-7544-8219,http://캠파제주.kr/,입실 15:00 퇴실 11:00,4.5,375,33.2983860472016,126.600911581825
휴림,"캠핑,야영장",제주 제주시 애월읍 광령남서길 40,광령리 2873,064-799-4883,http://www.jejusanjo.co.kr/,미제공,4.06,317,33.4433328038364,126.429266773129
하도리오길잘했어,민박,제주 제주시 구좌읍 문주란로 22-10,하도리 1418,0507-1395-2210,https://midori529hadori.modoo.at,미제공,4.82,485,33.5180698272325,126.88443526836
