이름,유형,도로명주소,지번주소,전화번호,홈페이지,테마,위도,경도
어라운드폴리,카라반,제주특별자치도 서귀포시 성산읍 서성일로 433,성산읍 난산리 2682,064-783-6226,http://www.aroundfollie.com/,숙소,33.415799622412,126.835927890515
서건도카라반,카라반,제주특별자치도 서귀포시 이어도로 826-51,강정동 750,064-739-8012,https://cafe.naver.com/seogundo,숙소,33.2325446183565,126.500211920339
휴림,카라반,제주특별자치도 제주시 애월읍 광령남서길 40,애월읍 광령리 2873-6,064-799-4883,,숙소,33.4437798639377,126.428787959221
제주플래티늄카라반,카라반,제주특별자치도 제주시 애월읍 하귀미수포길 5-8,애월읍 하귀2리 1806-2,064-805-9999,http://jejuptcar.com/,숙소,33.4834452845662,126.401406450408
디포레카라반파크,카라반,제주특별자치도 제주시 구좌읍 송당6길 78-1,구좌읍 송당리 1901-2,064-784-2417,http://dforetcaravan.kr/,숙소,33.4648181005773,126.781175612299
팜핑제주캠핑장,카라반,제주특별자치도 서귀포시 중산간서로400번길 105,도순동 1303,070-4101-1060,https://pampingjeju.modoo.at/,숙소,33.2689377459544,126.472568459604
리썸카라반,카라반,제주특별자치도 서귀포시 대정읍 일과대수로27번길 12,대정읍 일과리 1303-10,010-7455-6769,http://resomecaravan.com/,숙소,33.2393545329612,126.230166933767
비치보이스,카라반,제주특별자치도 제주시 애월읍 금성5길 42-1,애월읍 금성리 477,,https://www.instagram.com/beachboys_jeju/,숙소,33.447963355863,126.300675225471
메이더카라반,카라반,제주특별자치도 제주시 구좌읍 일주동로 1622,구좌읍 동복리 1651-1,064-783-2200,http://meithecaravan.com/,숙소,33.552598490509,126.706039098935
삼춘네캠핑하우스,카라반,제주특별자치도 서귀포시 대정읍 중산간서로 2366,대정읍 구억리 971,010-7638-0852,https://unclescampinghouse.modoo.at/,숙소,33.2739852353739,126.280043646129
서귀포호텔 카라반캠핑장,카라반,제주특별자치도 서귀포시 상예로 319,상예동 161,070-4858-4653,,숙소,33.2731320756409,126.394649837226
서귀포호텔 카라반캠핑장,카라반,제주특별자치도 서귀포시 상예로 319,상예동 161,070-4858-4653,,숙소,33.2731320756409,126.394649837226
서귀포호텔,호텔,제주특별자치도 서귀포시 상예로 319,상예동 161,064-738-0123,https://www.welfare.mil.kr/index.jsp,숙소,33.2731320756409,126.394649837226
서귀포호텔,호텔,제주특별자치도 서귀포시 상예로 319,상예동 161,064-738-0123,https://www.welfare.mil.kr/index.jsp,숙소,33.2731320756409,126.394649837226
클럽다인리조트 카라반,카라반,제주특별자치도 제주시 애월읍 고내리 79-27,,064-799-2600,http://dyneresort.co.kr/,숙소,33.4718844269646,126.351067440013
하도카라반,카라반,제주특별자치도 제주시 구좌읍 하도리 2266-4,,,,숙소,33.5178816895627,126.880099406828
마레보리조트 카라반,카라반,제주특별자치도 제주시 애월읍 신엄안3길 135,애월읍 고내리 42,1644-9658,http://www.marevoresort.com/,숙소,33.4706419288473,126.354447319405
마레보리조트 카라반,카라반,제주특별자치도 제주시 애월읍 신엄안3길 135,애월읍 고내리 42,1644-9658,http://www.marevoresort.com/,숙소,33.4706419288473,126.354447319405
마레보리조트,"콘도,리조트",제주특별자치도 제주시 애월읍 신엄안3길 135,애월읍 고내리 41,064-799-2090,http://marevo.co.kr/,숙소,33.4706419288473,126.354447319405
마레보리조트,"콘도,리조트",제주특별자치도 제주시 애월읍 신엄안3길 135,애월읍 고내리 41,064-799-2090,http://marevo.co.kr/,숙소,33.4706419288473,126.354447319405
한담캠핑카라반,카라반,제주특별자치도 제주시 애월읍 애월리 2477,,,,숙소,33.4618315113999,126.31070135812
선셋코스트 카라반&캠핑장,카라반,제주특별자치도 서귀포시 대정읍 노을해안로 232,대정읍 영락리 1580-2,,,숙소,33.2460784884987,126.204892001395
폴리파크카라반,카라반,제주특별자치도 제주시 애월읍 산록서로 18,애월읍 어음리 3912,064-799-0166,,숙소,33.3861171880905,126.37535640035
팀카라반 제주지사,카라반,제주특별자치도 제주시 덕지2길 37 1층,이호이동 1436-2,,,숙소,33.492037785321,126.451816980433
