이름,카테고리,별점,도로명주소,지번주소,전화번호,테마
커피 방듸,카페,4.62,제주 제주시 남광로 9 1층,이도이동 1081-10,0507-1357-3541,맛집
너와의첫여행 감성귤밭카페,카페,0.0,제주 제주시 애월읍 장소로 16 너와의첫여행 카페,장전리 1132-1,0507-1448-6891,맛집
아베베베이커리,베이커리,4.6,제주 제주시 동문로6길 4 동문시장 12번 게이트 옆,일도1동 1136-2,0507-1414-0750,맛집
원앤온리,카페,4.34,제주 서귀포시 안덕면 산방로 141,사계리 86,0507-1323-6186,맛집
런던베이글뮤지엄 제주점,베이커리,0.0,제주 제주시 구좌읍 동복로 85 제2동 1층,동복리 719-1,0507-1323-6186,맛집
랜디스도넛 제주애월점,도넛,4.39,제주 제주시 애월읍 애월로 27-1,애월리 2471,0507-1458-0610,맛집
노을리,"카페,디저트",4.63,제주 제주시 애월읍 애월해안로 654 가동 1층,구엄리 1219-5,0507-1491-5032,맛집
더클리프,"카페,디저트",4.28,제주 서귀포시 중문관광로 154-17,색달동 2950-17,0507-1312-8866,맛집
해지개,"카페,디저트",0.0,제주 제주시 애월읍 애월북서길 52 . 1~2층,애월리 2555,0507-1358-8586,맛집
우무,"카페,디저트",4.36,제주 제주시 한림읍 한림로 542-1,옹포리 324-3,0507-1327-0064,맛집
레이지펌프,"카페,디저트",0.0,제주 제주시 애월읍 애월북서길 32 lazypump,애월리 2578-1,0507-1325-8732,맛집
아줄레주,"카페,디저트",4.57,제주 서귀포시 성산읍 신풍하동로19번길 59,신풍리 627,0507-1411-4052,맛집
무로이,베이커리,4.51,제주 서귀포시 안덕면 동광본동로 21 무로이,동광리 962,0507-1412-0008,맛집
호텔샌드,"카페,디저트",4.39,제주 제주시 한림읍 한림로 339,협재리 2446-3,010-8879-8010,맛집
파리바게뜨 제주국제공항점,베이커리,4.44,"제주 제주시 공항로 2 (용담이동) (용담이동 , 제주국제공항 3층)","용담이동 2002 ( , 제주국제공항 3층)",0507-1343-0741,맛집
델문도,"카페,디저트",4.35,제주 제주시 조천읍 조함해안로 519-10,함덕리 1008-1,064-702-0007,맛집
점점,"카페,디저트",4.79,,제주 제주시 조천읍 신촌리 2384,0507-1360-0357,맛집
오드랑베이커리,베이커리,4.5,제주 제주시 조천읍 조함해안로 552-3,함덕리 270-1,064-784-5404,맛집
노티드 제주,카페,4.46,"제주 제주시 애월읍 애월로1길 24-9 1층, 2층",애월리 2527-3,010-4925-9377,맛집
몽그레 제주공항점,"카페,디저트",4.73,제주 제주시 도리로 84,이호일동 634-3,064-744-8224,맛집
서귀피안 베이커리,"카페,디저트",0.0,제주 서귀포시 성산읍 신양로122번길 17 2F,고성리 559-1,0507-1338-8378,맛집
포르뚜나,"카페,디저트",0.0,제주 제주시 한림읍 한림해안로 136 1층 카페 포르뚜나,한림리 1587,0507-1385-0927,맛집
제주에인감귤밭,카페,4.43,제주 서귀포시 호근서호로 20-14,호근동 693,0507-1320-3593,맛집
오른,"카페,디저트",0.0,제주 서귀포시 성산읍 해맞이해안로 2714 orrrn,오조리 394,0507-1401-1559,맛집
테라로사 서귀포점,카페,4.51,제주 서귀포시 칠십리로658번길 27-16,하효동 1306-1,1668-2764,맛집
몽그레 월정리점,"카페,디저트",0.0,"제주 제주시 구좌읍 해맞이해안로 400 1, 2층",월정리 670-3,010-6368-7676,맛집
카페진정성 종점,"카페,디저트",4.44,제주 제주시 서해안로 124,이호일동 322,0507-1369-7674,맛집
도렐 제주 본점,"카페,디저트",4.5,제주 서귀포시 성산읍 동류암로 20 플레이스 내 LOVE동,고성리 297-1,0507-1437-3011,맛집
