이름,유형,도로명주소,지번주소,전화번호,홈페이지,테마
어라운드폴리,카라반,제주특별자치도 서귀포시 성산읍 서성일로 433,성산읍 난산리 2682,064-783-6226,http://www.aroundfollie.com/,숙소
서건도카라반,카라반,제주특별자치도 서귀포시 이어도로 826-51,강정동 750,064-739-8012,https://cafe.naver.com/seogundo,숙소
휴림,카라반,제주특별자치도 제주시 애월읍 광령남서길 40,애월읍 광령리 2873-6,064-799-4883,,숙소
제주플래티늄카라반,카라반,제주특별자치도 제주시 애월읍 하귀미수포길 5-8,애월읍 하귀2리 1806-2,064-805-9999,http://jejuptcar.com/,숙소
디포레카라반파크,카라반,제주특별자치도 제주시 구좌읍 송당6길 78-1,구좌읍 송당리 1901-2,064-784-2417,http://dforetcaravan.kr/,숙소
팜핑제주캠핑장,카라반,제주특별자치도 서귀포시 중산간서로400번길 105,도순동 1303,070-4101-1060,https://pampingjeju.modoo.at/,숙소
리썸카라반,카라반,제주특별자치도 서귀포시 대정읍 일과대수로27번길 12,대정읍 일과리 1303-10,010-7455-6769,http://resomecaravan.com/,숙소
비치보이스,카라반,제주특별자치도 제주시 애월읍 금성5길 42-1,애월읍 금성리 477,,https://www.instagram.com/beachboys_jeju/,숙소
메이더카라반,카라반,제주특별자치도 제주시 구좌읍 일주동로 1622,구좌읍 동복리 1651-1,064-783-2200,http://meithecaravan.com/,숙소
삼춘네캠핑하우스,카라반,제주특별자치도 서귀포시 대정읍 중산간서로 2366,대정읍 구억리 971,010-7638-0852,https://unclescampinghouse.modoo.at/,숙소
서귀포호텔 카라반캠핑장,카라반,제주특별자치도 서귀포시 상예로 319,상예동 161,070-4858-4653,,숙소
클럽다인리조트 카라반,카라반,제주특별자치도 제주시 애월읍 고내리 79-27,,064-799-2600,http://dyneresort.co.kr/,숙소
하도카라반,카라반,제주특별자치도 제주시 구좌읍 하도리 2266-4,,,,숙소
마레보리조트 카라반,카라반,제주특별자치도 제주시 애월읍 신엄안3길 135,애월읍 고내리 42,1644-9658,http://www.marevoresort.com/,숙소
한담캠핑카라반,카라반,제주특별자치도 제주시 애월읍 애월리 2477,,,,숙소
선셋코스트 카라반&캠핑장,카라반,제주특별자치도 서귀포시 대정읍 노을해안로 232,대정읍 영락리 1580-2,,,숙소
폴리파크카라반,카라반,제주특별자치도 제주시 애월읍 산록서로 18,애월읍 어음리 3912,064-799-0166,,숙소
팀카라반 제주지사,카라반,제주특별자치도 제주시 덕지2길 37 1층,이호이동 1436-2,,,숙소
제주캠핑카라반,카라반,제주특별자치도 서귀포시 표선면 표선동서로 324-18,표선면 표선리 441,064-787-8202,http://www.jejucampingcaravan.com/,숙소
무거펜션&카라반,펜션,제주특별자치도 제주시 조천읍 조함해안로 356,조천읍 신흥리 15,010-6260-9737,http://moogerpension.com/,숙소
카라반 응,게스트하우스,제주특별자치도 제주시 한경면 용금로 758-1,한경면 저지리 1794,,http://blog.naver.com/ungjeju,숙소
롯데호텔 제주,특급호텔,제주특별자치도 서귀포시 중문관광로72번길 35,색달동 2812-4,064-731-1000,https://www.lottehotel.com/jeju-hotel/ko.html,숙소
캠파제주,오토캠핑장,제주특별자치도 서귀포시 516로 574-23,상효동 1116-1,010-7259-2513,http://xn--9y5b2pk9kn7e.kr/,숙소
클럽다인리조트,"콘도,리조트",제주특별자치도 제주시 애월읍 애월해안로 400-9,애월읍 고내리 79-8,064-799-2600,http://www.dyneresort.co.kr/,숙소
제주파인비치펜션,펜션,제주특별자치도 서귀포시 남원읍 태위로 976-10 나동,남원읍 태흥리 385,064-764-2918,http://www.jejupinebeach.kr/,숙소
녹고뫼휴양펜션 &제주캠핑장,"야영,캠핑장",제주특별자치도 제주시 애월읍 유수암평화10길 175-78,애월읍 유수암리 92,064-799-8118,http://www.nokumecamp.com/,숙소
메이더호텔,호텔,제주특별자치도 제주시 구좌읍 일주동로 1626,구좌읍 동복리 1652-2,064-766-8888,http://meithehotel.com/,숙소
흰수염고래리조트,"콘도,리조트",제주특별자치도 제주시 애월읍 일주서로 6818,애월읍 구엄리 941,064-747-5553,http://jejubluewhale.com/,숙소
빨간풍차펜션,펜션,제주특별자치도 제주시 구좌읍 김녕남2길 36,구좌읍 김녕리 3100,010-6425-1645,http://www.redwindmill.co.kr/,숙소
제주금강산콘도,"콘도,리조트",제주특별자치도 제주시 한림읍 협재로 210-18,한림읍 협재리 929-1,064-795-7800,http://www.mibong.co.kr/,숙소
선양빌리지돔,펜션,제주특별자치도 제주시 조천읍 와흘로 350,조천읍 와흘리 262,010-5168-9001,https://pridge.kr/v2/camping/campinginfo/105174,숙소
고파크,펜션,제주특별자치도 제주시 조천읍 남조로 2044-38,조천읍 교래리 786-17,064-784-0103,http://kopark.co.kr/,숙소
제주애월별헤는밤 글램핑펜션,글램핑장,제주특별자치도 제주시 애월읍 광상로 348,애월읍 유수암리 2270-2,010-6359-7802,http://www.xn--bj0b46p8olsmb6z0b.kr/,숙소
귤빛캠핑장,"야영,캠핑장",제주특별자치도 제주시 조천읍 함와로 428,조천읍 대흘리 172,064-782-0110,http://www.jeju-camping.com/,숙소
까델아스리조트,펜션,제주특별자치도 제주시 애월읍 신엄9길 50,애월읍 신엄리 1104-3,064-799-7996,http://www.cadelhas.com/index.php,숙소
엠버리조트,"콘도,리조트",제주특별자치도 제주시 1100로 2671-51,노형동 310-2,064-805-8695,http://www.amberjeju.com/,숙소
함덕해수욕장 야영장,"야영,캠핑장",제주특별자치도 제주시 조천읍 조함해안로 525,조천읍 함덕리 산 4-4,,,숙소
성산해맞이펜션,펜션,제주특별자치도 서귀포시 성산읍 한도로242번길 10-9,성산읍 성산리 252-7,070-7777-0728,https://welcomingthesun.modoo.at/,숙소
오크라리조트,"콘도,리조트",제주특별자치도 서귀포시 표선면 번영로 3189,표선면 하천리 1415,064-805-9922,https://pridge.kr/v2/camping/campinginfo/126183,숙소
자고가게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 신양로122번길 29,성산읍 고성리 559-4,010-6683-0567,http://blog.naver.com/jejujagoga,숙소
돌고래하우스,펜션,제주특별자치도 서귀포시 이어도로 826-58,강정동 798,064-739-7704,http://dolkorae.fortour.kr/,숙소
